Token	      Text	Line	Column (Start,End)
263  	      void	0	(0,4)
266  	      sort	0	(5,9)
278  	         (	0	(9,10)
264  	       int	0	(10,13)
266  	        ar	0	(14,16)
276  	         [	0	(16,17)
277  	         ]	0	(17,18)
275  	         ,	0	(18,19)
264  	       int	0	(20,23)
266  	       len	0	(24,27)
279  	         )	0	(27,28)
280  	         {	1	(0,1)
264  	       int	2	(4,7)
266  	         i	2	(8,9)
274  	         ;	2	(9,10)
264  	       int	3	(4,7)
266  	         j	3	(8,9)
274  	         ;	3	(9,10)
264  	       int	4	(4,7)
266  	      temp	4	(8,12)
274  	         ;	4	(12,13)
266  	         i	5	(4,5)
288  	         =	5	(6,7)
267  	         0	5	(8,9)
274  	         ;	5	(9,10)
261  	     while	6	(4,9)
278  	         (	6	(10,11)
266  	         i	6	(11,12)
284  	         <	6	(13,14)
266  	       len	6	(15,18)
271  	         -	6	(19,20)
267  	         1	6	(21,22)
279  	         )	6	(22,23)
280  	         {	7	(4,5)
266  	         j	8	(8,9)
288  	         =	8	(10,11)
267  	         0	8	(12,13)
274  	         ;	8	(13,14)
261  	     while	9	(8,13)
278  	         (	9	(14,15)
266  	         j	9	(15,16)
284  	         <	9	(17,18)
266  	       len	9	(19,22)
271  	         -	9	(23,24)
266  	         i	9	(25,26)
271  	         -	9	(27,28)
267  	         1	9	(29,30)
279  	         )	9	(30,31)
280  	         {	10	(8,9)
259  	        if	11	(12,14)
278  	         (	11	(15,16)
266  	        ar	11	(16,18)
276  	         [	11	(18,19)
266  	         j	11	(19,20)
277  	         ]	11	(20,21)
286  	         >	11	(22,23)
266  	        ar	11	(24,26)
276  	         [	11	(26,27)
266  	         j	11	(27,28)
270  	         +	11	(29,30)
267  	         1	11	(31,32)
277  	         ]	11	(32,33)
279  	         )	11	(33,34)
280  	         {	12	(12,13)
266  	      temp	13	(16,20)
288  	         =	13	(21,22)
266  	        ar	13	(23,25)
276  	         [	13	(25,26)
266  	         j	13	(26,27)
277  	         ]	13	(27,28)
274  	         ;	13	(28,29)
266  	        ar	14	(16,18)
276  	         [	14	(18,19)
266  	         j	14	(19,20)
277  	         ]	14	(20,21)
288  	         =	14	(22,23)
266  	        ar	14	(24,26)
276  	         [	14	(26,27)
266  	         j	14	(27,28)
270  	         +	14	(29,30)
267  	         1	14	(31,32)
277  	         ]	14	(32,33)
274  	         ;	14	(33,34)
266  	        ar	15	(16,18)
276  	         [	15	(18,19)
266  	         j	15	(19,20)
270  	         +	15	(21,22)
267  	         1	15	(23,24)
277  	         ]	15	(24,25)
288  	         =	15	(26,27)
266  	      temp	15	(28,32)
274  	         ;	15	(32,33)
281  	         }	16	(12,13)
266  	         j	17	(12,13)
288  	         =	17	(14,15)
266  	         j	17	(16,17)
270  	         +	17	(18,19)
267  	         1	17	(20,21)
274  	         ;	17	(21,22)
281  	         }	18	(8,9)
266  	         i	19	(8,9)
288  	         =	19	(10,11)
266  	         i	19	(12,13)
270  	         +	19	(14,15)
267  	         1	19	(16,17)
274  	         ;	19	(17,18)
281  	         }	20	(4,5)
281  	         }	21	(0,1)
264  	       int	23	(0,3)
266  	      main	23	(4,8)
278  	         (	23	(8,9)
263  	      void	23	(9,13)
279  	         )	23	(13,14)
280  	         {	24	(0,1)
264  	       int	25	(4,7)
266  	        ar	25	(8,10)
276  	         [	25	(10,11)
267  	        10	25	(11,13)
277  	         ]	25	(13,14)
274  	         ;	25	(14,15)
264  	       int	26	(4,7)
266  	         i	26	(8,9)
274  	         ;	26	(9,10)
266  	         i	27	(4,5)
288  	         =	27	(6,7)
267  	         0	27	(8,9)
274  	         ;	27	(9,10)
261  	     while	28	(4,9)
278  	         (	28	(9,10)
266  	         i	28	(10,11)
284  	         <	28	(12,13)
267  	        10	28	(14,16)
279  	         )	28	(16,17)
280  	         {	29	(4,5)
266  	        ar	30	(8,10)
276  	         [	30	(10,11)
266  	         i	30	(11,12)
277  	         ]	30	(12,13)
288  	         =	30	(14,15)
267  	        10	30	(16,18)
271  	         -	30	(19,20)
266  	         i	30	(21,22)
274  	         ;	30	(22,23)
266  	         i	31	(8,9)
288  	         =	31	(10,11)
266  	         i	31	(12,13)
270  	         +	31	(14,15)
267  	         1	31	(16,17)
274  	         ;	31	(17,18)
281  	         }	32	(4,5)
266  	      sort	33	(4,8)
278  	         (	33	(8,9)
266  	        ar	33	(9,11)
275  	         ,	33	(11,12)
267  	        10	33	(13,15)
279  	         )	33	(15,16)
274  	         ;	33	(16,17)
262  	    return	34	(4,10)
267  	         0	34	(11,12)
274  	         ;	34	(12,13)
281  	         }	35	(0,1)
